actor_id,actor_name,degree_centrality,degree
nm0000554,Sam Neill,0.0024398952630326114,82
nm0000495,Téa Leoni,0.0008033801475839086,27
nm0005273,Alessandro Nivola,0.0017257795762913592,58
nm0915989,Hugo Weaving,0.0016960247560104736,57
nm0000092,John Cleese,0.001011663889550107,34
nm0491136,Michael Laurence,0.00017852892168531301,6
nm0588096,Christa Miller,8.926446084265651e-05,3
nm0864997,Stephen Tobolowsky,0.0015174958343251606,51
nm1979918,Lisa Denke,8.926446084265651e-05,3
nm0452199,Roland Kickinger,8.926446084265651e-05,3
nm0006669,William Sadler,0.001993572958819329,67
nm0723590,Allan Rich,8.926446084265651e-05,3
nm0305182,Eddie Garcia,8.926446084265651e-05,3
nm0769444,Jayson Schaal,8.926446084265651e-05,3
nm0136286,Brian Card,8.926446084265651e-05,3
nm0276062,Todd Field,0.00017852892168531301,6
nm0001729,Craig Sheffer,0.0011306831706736492,38
nm0000838,Daniel Baldwin,0.003183765770054749,107
nm0919117,Michael T. Weiss,0.00026779338252796953,9
nm0842770,Tilda Swinton,0.0026779338252796952,90
nm0948679,Daniel York,8.926446084265651e-05,3
nm0665265,Patcharawan Patarakijjanon,8.926446084265651e-05,3
nm0000107,Kim Basinger,0.0012794572720780766,43
nm0001722,Rufus Sewell,0.0011604379909545346,39
nm0171052,Holliston Coleman,8.926446084265651e-05,3
nm0000369,Matt Dillon,0.0014282313734825041,48
nm0001523,Natascha McElhone,0.0009819090692692216,33
nm0000367,Gérard Depardieu,0.0018150440371340157,61
nm0000223,Elisabeth Shue,0.0013389669126398476,45
nm0000982,Josh Brolin,0.0018745536776957868,63
nm0225332,Kim Dickens,0.00035705784337062603,12
nm0000255,Ben Affleck,0.002826707926684123,95
nm0000151,Morgan Freeman,0.0033027850511782907,111
nm1172817,Ian Mongrain,8.926446084265651e-05,3
